,id_target,disposition,period,duration
688,394657039,CANDIDATE,3.7628372,3.956
695,431899140,CANDIDATE,1.97656,3.102
697,67418624,CANDIDATE,1.1036944,0.8389743
705,101037590,CANDIDATE,8.7094632,3.027
710,348770361,CANDIDATE,2.7684331,4.223
711,219776325,CANDIDATE,2.5288046,1.4743647
717,322054600,CANDIDATE,1.3428928,0.7602025
720,377144784,CANDIDATE,2.386701,2.911
722,378291076,CANDIDATE,1.59878,2.125
723,387260717,CANDIDATE,6.453624,3.582
733,317597583,CANDIDATE,12.0557544,1.958
741,312862941,CANDIDATE,0.9150943,0.7630287
745,422923265,CANDIDATE,1.8649892,1.0085162
747,298647682,CANDIDATE,20.0795416,1.111
752,376353509,CANDIDATE,7.3315421,1.268
757,154867950,CANDIDATE,0.6664948,1.38
758,156724719,CANDIDATE,10.95475,3.775
759,258829450,CANDIDATE,1.834792,2.444
760,266500992,CANDIDATE,3.2786557,2.73
763,286561122,CANDIDATE,0.67994,1.907
764,288631580,CANDIDATE,5.8775478,2.598
765,288631580,CANDIDATE,3.3986195,2.185
766,147203645,CANDIDATE,5.06114,1.338
771,353782445,CANDIDATE,11.8351133,2.639
776,428679607,CANDIDATE,2.680064,1.765
777,149990841,CANDIDATE,4.4531846,1.687
780,441739020,CANDIDATE,123.0601382,10.0531335
785,81831095,CANDIDATE,3.133084,1.237
787,87090944,CANDIDATE,0.64367,0.548
790,369457671,CANDIDATE,2.31446,1.347
791,259168516,CANDIDATE,4.8026163,1.129
792,321041369,CANDIDATE,1.5379289,0.724
794,58542531,CANDIDATE,3.0575356,1.318
795,85031598,CANDIDATE,1.1551094,1.4751937
797,102672709,CANDIDATE,6.7021373,3.9010854
798,103448870,CANDIDATE,10.2595817,1.445688
800,198384408,CANDIDATE,9.1238101,5.1188391
803,268334473,CANDIDATE,16.736882,4.614
804,288636342,CANDIDATE,17.7288472,6.225
805,288636342,CANDIDATE,32.2080524,7.374
808,422756130,CANDIDATE,3.1343189,1.2351357
810,1884091865,CANDIDATE,10.716524,3.075
811,190223929,CANDIDATE,17.04198,1.578
812,22705558,CANDIDATE,4.5470912,2.338
813,394698182,CANDIDATE,3.7115129,2.685
815,274215536,CANDIDATE,1.33418,1.115
817,453387619,CANDIDATE,1.2016072,0.5
819,137500798,CANDIDATE,13.2050287,4.942
820,230377505,CANDIDATE,4.5156129,2.59
821,230377505,CANDIDATE,7.4058886,2.602
824,29119552,CANDIDATE,7.6288424,3.311
825,309257814,CANDIDATE,1.2386034,1.651
830,15863518,CANDIDATE,0.557201,0.8046593
832,142090065,CANDIDATE,2.8269383,1.0
833,14336130,CANDIDATE,8.0823185,3.255
834,149833117,CANDIDATE,4.0523835,2.184
835,257241363,CANDIDATE,5.5870435,2.885
836,293617835,CANDIDATE,2.7552506,1.447
840,85242435,CANDIDATE,9.605222,3.693
841,71431780,CANDIDATE,13.7265216,3.608
846,241225337,CANDIDATE,1.8327923,1.4626765
849,270341214,CANDIDATE,29.7536112,8.017
850,318022259,CANDIDATE,6.2261949,1.767
851,318022259,CANDIDATE,2.1555119,1.393
852,318022259,CANDIDATE,12.5662911,2.744
854,470987100,CANDIDATE,4.1192714,1.985
856,224596152,CANDIDATE,28.8744474,4.2581545
857,365673804,CANDIDATE,10.3857972,3.142
858,408618999,CANDIDATE,7.0731059,3.851
859,233009109,CANDIDATE,14.4479443,6.16
860,104208182,CANDIDATE,3.6973862,1.4182516
861,159418353,CANDIDATE,8.3033526,1.687
867,174041208,CANDIDATE,19.428419,3.5727154
868,198206613,CANDIDATE,10.9409287,2.7025431
869,219857012,CANDIDATE,21.2692637,5.762
870,219860288,CANDIDATE,4.2660553,0.69
871,229455001,CANDIDATE,22.3416691,2.651
872,232635922,CANDIDATE,5.9848228,1.673
873,232650365,CANDIDATE,2.5253673,1.0318245
874,232650365,CANDIDATE,3.8776441,1.062
875,233071822,CANDIDATE,2.7546615,0.566
876,233071926,CANDIDATE,1.8318701,1.301
882,237099296,CANDIDATE,11.3371686,2.799
883,287080092,CANDIDATE,37.4685253,7.177
884,287139872,CANDIDATE,0.9351877,0.502
885,287139872,CANDIDATE,32.7158256,3.7160522
886,289580577,CANDIDATE,5.3845747,2.847
887,332477926,CANDIDATE,16.2143167,3.234
889,364074068,CANDIDATE,2.7830093,1.6484492
890,367753709,CANDIDATE,2.1256936,1.184
891,367858035,CANDIDATE,20.7050858,3.388
895,424391516,CANDIDATE,11.5921894,3.238
896,435680451,CANDIDATE,24.1498988,3.1031259
897,441739871,CANDIDATE,3.7979081,0.642
898,1551345500,CANDIDATE,47.3860753,1.81
899,272672133,CANDIDATE,3.493958,1.961
902,137906197,CANDIDATE,7.3376973,4.012
905,457138169,CANDIDATE,1.0924536,1.2245785
907,85293053,CANDIDATE,8.0542207,3.0287161
908,85293053,CANDIDATE,,5.3489749
911,9348006,CANDIDATE,10.2405483,3.538
912,21535395,CANDIDATE,2.8009915,1.4985399
913,29191624,CANDIDATE,14.6503935,2.08
914,39699648,CANDIDATE,6.5159507,2.5334309
922,160045097,CANDIDATE,4.9876681,2.146
923,160045097,CANDIDATE,1.8290233,1.367
924,160045097,CANDIDATE,18.7558935,2.32
925,229938290,CANDIDATE,1.4198659,1.3058497
927,230386259,CANDIDATE,11.0023414,5.29
929,372730331,CANDIDATE,8.7046669,2.58
935,29191596,CANDIDATE,8.8164887,3.895
937,286916251,CANDIDATE,8.765603,3.552
942,198153540,CANDIDATE,8.0215043,2.979
943,198153540,CANDIDATE,0.4378069,1.3013559
944,8967242,CANDIDATE,7.093853,2.5107626
947,119584412,CANDIDATE,10.6439385,2.713
948,138762614,CANDIDATE,16.7961107,3.4989302
949,144401492,CANDIDATE,12.8858629,2.098
950,144401492,CANDIDATE,6.2932111,2.188
951,148679712,CANDIDATE,4.924658,2.752
952,165763244,CANDIDATE,24.0509437,3.25
953,166648874,CANDIDATE,15.1454693,2.5830151
954,166648874,CANDIDATE,8.1960758,1.4883227
956,307734817,CANDIDATE,2.1075001,1.9093483
958,76923707,CANDIDATE,4.5320502,2.3754425
961,207425167,CANDIDATE,,7.3027567
962,207425167,CANDIDATE,11.6146879,3.0660336
963,207425167,CANDIDATE,,5.7652221
965,160440924,CANDIDATE,6.3686665,5.656
968,285094173,CANDIDATE,13.398256,1.909
969,330799746,CANDIDATE,5.5115037,4.423
972,393831507,CANDIDATE,4.860673,2.632
975,142381532,CANDIDATE,38.8135644,5.818
976,142387023,CANDIDATE,22.8085984,3.914
977,229750058,CANDIDATE,10.1824299,2.788
980,232982938,CANDIDATE,9.09415,4.403
981,235905185,CANDIDATE,6.2895835,3.044
985,307956397,CANDIDATE,4.1508569,2.19
988,347332255,CANDIDATE,5.6419598,3.0871502
989,347332255,CANDIDATE,,3.9454498
990,207468071,CANDIDATE,20.380749,6.459
991,207468071,CANDIDATE,1.772747,1.527
1001,272758199,CANDIDATE,3.6609985,2.419
1002,198385543,CANDIDATE,3.9307159,1.402
1004,54002556,CANDIDATE,12.7645811,2.132
1005,219824469,CANDIDATE,5.4809161,5.031
1006,23740089,CANDIDATE,19.7258442,2.578
1010,219728669,CANDIDATE,2.3601883,2.455
1011,73540072,CANDIDATE,1.2436239,1.211
1012,157225097,CANDIDATE,2.5267353,2.2654363
1013,81247740,CANDIDATE,1.3641482,0.952
1014,224313733,CANDIDATE,197.0336254,7.338
1016,424733642,CANDIDATE,2.0912089,1.144
1017,229742722,CANDIDATE,63.483464,4.632
1021,323295479,CANDIDATE,742.52145,6.5869825
1026,400430915,CANDIDATE,2.1863095,3.9576915
1028,230087585,CANDIDATE,8.8262952,3.21
1029,299780329,CANDIDATE,1.6024387,1.0090014
1031,230375747,CANDIDATE,2.7634024,3.5060071
1033,229490898,CANDIDATE,2.2349708,2.016
1034,328933398,CANDIDATE,24.9341884,4.964
1035,328933398,CANDIDATE,,5.0812116
1036,328933398,CANDIDATE,7.0057063,3.238793
1038,233047097,CANDIDATE,11.3091849,1.713
1039,233078665,CANDIDATE,6.4827302,2.234
1041,219762508,CANDIDATE,3.235098,1.128
1042,243335710,CANDIDATE,13.7046374,5.373
1044,359357695,CANDIDATE,1.7262631,1.7729838
1045,59859387,CANDIDATE,1.1203595,2.3873717
1046,396368313,CANDIDATE,3.0898433,1.7253015
1047,348755728,CANDIDATE,4.5062989,2.0637719
1048,219879302,CANDIDATE,6.7822711,2.491
1049,258510872,CANDIDATE,6.5440665,3.777
1050,403136415,CANDIDATE,2.5128027,2.5454713
1051,229586455,CANDIDATE,2.2001438,1.612
1053,139771134,CANDIDATE,0.9134697,1.1241224
1055,288636599,CANDIDATE,19.9677354,6.033
1057,63698669,CANDIDATE,,5.0689647
1058,264544388,CANDIDATE,,16.2000201
1059,280865159,CANDIDATE,739.2424007,19.2382815
1060,384159646,CANDIDATE,748.0739416,5.0652033
1061,174302697,CANDIDATE,,16.1046282
1062,420645189,CANDIDATE,,6.6543459
1063,420645189,CANDIDATE,,6.633714
1064,91987762,CANDIDATE,45.5221234,4.024
1107,268301217,CANDIDATE,0.9466787,1.09
1108,128449971,CANDIDATE,12.7006348,2.5954859
1111,7413227,CANDIDATE,3.4158625,1.8
1114,382980571,CANDIDATE,1.742564,1.72
1119,31268146,CANDIDATE,3.647523,4.522
1120,334125713,CANDIDATE,4.6211026,3.882
1123,356590734,CANDIDATE,4.8294029,2.327
1126,466113537,CANDIDATE,4.90427,5.259
1129,302659412,CANDIDATE,14.5189715,2.769
1130,356747847,CANDIDATE,14.6482374,1.953
1132,234519192,CANDIDATE,1.1630161,1.9358075
1133,318828309,CANDIDATE,5.3418199,4.99
1134,179319057,CANDIDATE,6.7018963,1.874
1136,190271688,CANDIDATE,12.6513671,4.277
1137,242083025,CANDIDATE,0.6467049,0.992
1139,242120884,CANDIDATE,0.6228752,0.8770066
1140,320079492,CANDIDATE,0.4262195,0.45
1144,162695785,CANDIDATE,2.5599662,2.706
1146,267414551,CANDIDATE,4.7631,1.838
1147,47617161,CANDIDATE,3.9194733,2.025
1154,12421862,CANDIDATE,10.2150168,1.9683066
1156,378613125,CANDIDATE,2.47707,2.611
1157,437329044,CANDIDATE,17.1725007,5.016
1165,309792357,CANDIDATE,104.873581,6.506
1170,445903569,CANDIDATE,4.0337722,3.8222937
1171,299023386,CANDIDATE,3.1056464,1.772
1173,142378043,CANDIDATE,1.8359753,1.086
1177,371188886,CANDIDATE,9.1270513,3.457
1178,371188886,CANDIDATE,3.0981959,2.2446596
1179,118084044,CANDIDATE,2.7434565,1.7721369
1181,58463434,CANDIDATE,,3.529
