,id_target,disposition,period,duration,koi_time0bk
4064,8741470,CANDIDATE,6.23968392,0.668,133.72124
4067,9896018,CANDIDATE,3.59645081,2.661,132.77209
4075,2997459,CANDIDATE,16.3368863,3.597,132.20816
4076,8330207,CANDIDATE,1.63668262,1.907,131.64586
4077,5881813,CANDIDATE,11.615625,2.233,131.96843
4084,9202434,CANDIDATE,173.2578372,2.027,194.4584
4088,7901016,CANDIDATE,41.6757509,10.848,169.791
4089,5385410,CANDIDATE,11.49589567,2.256,139.38053
4091,7749002,CANDIDATE,0.609926502,1.2529,131.80347
4094,3848083,CANDIDATE,8.4795266,6.052,138.1276
4095,6359926,CANDIDATE,49.4746966,10.46,166.142
4097,8324518,CANDIDATE,1.62888267,1.72,132.33899
4099,3103473,CANDIDATE,1.920062587,1.437,131.72678
4108,5785279,CANDIDATE,0.909127736,1.431,132.40471
4113,9896018,CANDIDATE,10.30148508,3.903,134.88185
4114,12456063,CANDIDATE,17.8007815,6.547,134.3839
4116,5096053,CANDIDATE,1.717859841,0.908,132.92612
4120,5802637,CANDIDATE,7.3422467,2.029,131.55382
4121,5531694,CANDIDATE,8.1134681,4.961,132.8253
4124,7107802,CANDIDATE,5.4675514,3.283,133.42478
4132,12509829,CANDIDATE,0.888478095,1.5312,131.86943
4136,2576962,CANDIDATE,309.25581,10.72,136.2248
4137,10140274,CANDIDATE,2.44232399,1.921,133.53724
4140,8345384,CANDIDATE,42.1003351,1.0834,143.02827
4147,9072639,CANDIDATE,1.182862515,2.928,131.97137
4152,8890924,CANDIDATE,26.6565737,4.954,131.59433
4153,8890924,CANDIDATE,4.4408541,8.083,135.2744
4161,4054784,CANDIDATE,1.8679943,1.087,133.22986
4162,10745365,CANDIDATE,8.9172863,4.468,139.6051
4164,8396660,CANDIDATE,1.33807075,1.425,132.34756
4176,9716028,CANDIDATE,17.3731821,3.36,138.28747
4177,6223324,CANDIDATE,1.97507424,2.61,132.3567
4185,9773980,CANDIDATE,3.3879165,1.818,133.93645
4190,10467714,CANDIDATE,58.7488629,3.191,172.65025
4192,4141593,CANDIDATE,64.740274,15.082,149.9922
4193,7778427,CANDIDATE,5.38299284,3.336,136.239
4195,6523058,CANDIDATE,2.0481582,1.899,132.17679
4197,11769689,CANDIDATE,14.7179342,5.844,135.6498
4207,9457948,CANDIDATE,19.2527652,4.862,144.2659
4211,4072271,CANDIDATE,219.20579,14.5,327.891
4216,8098212,CANDIDATE,3.48754109,1.811,134.16018
4218,6369131,CANDIDATE,8.0772455,7.272,132.649
4219,7820699,CANDIDATE,364.08733,14.09,287.6056
4221,10257229,CANDIDATE,5.75651958,2.309,136.97726
4222,3539231,CANDIDATE,91.95723,10.471,183.0248
4223,6311891,CANDIDATE,7.51731745,2.484,137.59704
4226,7834045,CANDIDATE,44.6966177,10.532,155.6611
4227,10663738,CANDIDATE,8.5275894,2.959,137.2755
4228,7891294,CANDIDATE,3.07714195,3.571,133.4849
4229,9413156,CANDIDATE,3.83488354,2.026,135.08701
4237,5431027,CANDIDATE,8.8233996,6.735,136.8921
4243,6070337,CANDIDATE,40.0691482,2.928,143.73713
4244,5954001,CANDIDATE,11.6933447,6.551,142.6574
4247,8196226,CANDIDATE,4.02745396,1.33,133.12194
4248,9002538,CANDIDATE,4.96061094,2.864,135.32139
4251,5642688,CANDIDATE,1.4733245,1.406,132.85599
4255,5552562,CANDIDATE,5.93218209,4.507,135.63378
4256,6186182,CANDIDATE,96.384483,5.253,144.86825
4257,4073017,CANDIDATE,6.05552018,2.818,131.59851
4259,10585749,CANDIDATE,54.333582,10.545,144.7536
4260,9579208,CANDIDATE,4.11754421,4.362,132.79189
4265,9773270,CANDIDATE,122.749053,8.342,170.9953
4266,9457728,CANDIDATE,4.37992345,4.949,133.99121
