,id_target,disposition,period,duration
879,TIC 21220097,CANDIDATE,1.56494,0.6672
882,TIC 21337940,CANDIDATE,7.5587,2.5
883,TIC 21337940,CANDIDATE,25.43143,2.8
886,TIC 27549827,CANDIDATE,27.693,6.34296
887,TIC 21337864,CANDIDATE,7.13142,1.92
888,TIC 21337864,CANDIDATE,7.134,1.83888
889,TIC 6953394,CANDIDATE,3.57804902,4.905
890,TIC 7059194,CANDIDATE,12.89398,1.2
891,TIC 20497205,CANDIDATE,1.89016107,2.224
892,TIC 20497205,CANDIDATE,1.88993,1.656
893,TIC 333801563,CANDIDATE,1.64117466,1.337
894,TIC 333801563,CANDIDATE,1.640707,2.208
895,TIC 20497187,CANDIDATE,19.53405,
896,TIC 20497187,CANDIDATE,19.53403,1.2888
897,TIC 46298321,CANDIDATE,1.106175,
898,TIC 46298321,CANDIDATE,1.106,0.99408
899,TIC 46298321,CANDIDATE,1.10605213,1.289
900,TIC 46298321,CANDIDATE,1.106182,0.0
905,TIC 21223810,CANDIDATE,3.383,3.72096
906,TIC 21223810,CANDIDATE,3.38199819,5.484
909,TIC 46307587,CANDIDATE,3.607981,2.7384
910,TIC 46307587,CANDIDATE,3.6079902,2.999
911,TIC 293366865,CANDIDATE,15.405101,2.8128
914,TIC 7059061,CANDIDATE,2.176955,0.54
915,TIC 7059061,CANDIDATE,2.17693,
923,TIC 186814739,CANDIDATE,0.95017067,2.581
924,TIC 20484508,CANDIDATE,1.53453,
927,TIC 330635825,CANDIDATE,20.893526,7.7016
929,TIC 46259496,CANDIDATE,10.545,3.25896
930,TIC 186814898,CANDIDATE,12.0808,2.28
935,TIC 82508808,CANDIDATE,0.45220131,0.5773712
936,TIC 82508808,CANDIDATE,0.4520313,0.7272
940,TIC 331986832,CANDIDATE,11.09226,2.9
941,TIC 332025516,CANDIDATE,2.61299,6.6624
942,TIC 197247443,CANDIDATE,8.97146,2.6064
944,TIC 386891333,CANDIDATE,19.640123,
945,TIC 386891333,CANDIDATE,19.63975,1.4184
946,TIC 386891333,CANDIDATE,19.640151,2.184
947,TIC 386891333,CANDIDATE,19.64,1.42992
948,TIC 386891333,CANDIDATE,19.63366256,2.331
949,TIC 184913989,CANDIDATE,10.90364,2.4
950,TIC 203253674,CANDIDATE,0.995061,2.6448
951,TIC 14677590,CANDIDATE,11.2362,1.176
952,TIC 175241633,CANDIDATE,5.749481,
953,TIC 175241633,CANDIDATE,5.75,1.25496
954,TIC 175241633,CANDIDATE,5.75052,1.44
955,TIC 175291050,CANDIDATE,1.648932,0.576
956,TIC 175291050,CANDIDATE,1.6488,
957,TIC 307678062,CANDIDATE,24.399869,
958,TIC 184914053,CANDIDATE,2.52,12.35496
961,TIC 178277857,CANDIDATE,9.35739,1.68
962,TIC 175291001,CANDIDATE,1.810718,2.4048
964,TIC 175240357,CANDIDATE,1.81042,3.7056
965,TIC 175261801,CANDIDATE,1.810834,2.844
966,TIC 197241396,CANDIDATE,24.6237203,
974,TIC 14568606,CANDIDATE,8.841,1.752
975,TIC 197192372,CANDIDATE,45.38331501,5.429
977,TIC 195192253,CANDIDATE,3.476642,2.5392
978,TIC 195192253,CANDIDATE,3.4766506,2.5848
979,TIC 195192253,CANDIDATE,3.476633,
980,TIC 195192253,CANDIDATE,3.47701312,2.646
981,TIC 195192253,CANDIDATE,3.477,2.20488
983,TIC 178278676,CANDIDATE,,9.9312
984,TIC 178278676,CANDIDATE,39.5438,7.992
985,TIC 178278676,CANDIDATE,,12.696
986,TIC 178278676,CANDIDATE,26.8662,8.52
987,TIC 175290867,CANDIDATE,5.781853,
988,TIC 175290867,CANDIDATE,5.7837,4.2
989,TIC 175290867,CANDIDATE,5.78,3.138
991,TIC 14433733,CANDIDATE,19.729071,2.7
1004,TIC 14635246,CANDIDATE,29.724674,3.8
1008,TIC 175194992,CANDIDATE,7.220537,4.1136
1010,TIC 203287539,CANDIDATE,10.55632,
1011,TIC 203287539,CANDIDATE,10.55532,1.68
1012,TIC 203287539,CANDIDATE,10.555,1.30704
1015,TIC 175265769,CANDIDATE,1.092845,1.6248
1016,TIC 175262084,CANDIDATE,1.092673,1.3056
1018,TIC 82330323,CANDIDATE,0.907765,0.0
1019,TIC 386908047,CANDIDATE,17.04066667,2.26
1020,TIC 386908047,CANDIDATE,17.035203,2.508
1021,TIC 203281736,CANDIDATE,63.8432,4.944
1022,TIC 203281736,CANDIDATE,63.84825,
1023,TIC 14602163,CANDIDATE,8.986,0.00192
1024,TIC 14602163,CANDIDATE,8.986648,
1025,TIC 184898467,CANDIDATE,0.279258,
1026,TIC 82325163,CANDIDATE,32.576,4.25304
1027,TIC 82325163,CANDIDATE,32.5795,5.088
1028,TIC 386890582,CANDIDATE,1.744546,3.924
1030,TIC 195193560,CANDIDATE,74.8,
1031,TIC 14676965,CANDIDATE,6.83292,2.208
1040,TIC 178245471,CANDIDATE,3.697161,3.3528
1042,TIC 243246389,CANDIDATE,23.702342,5.424
1043,TIC 178268711,CANDIDATE,2.714743,1.6
1044,TIC 203214138,CANDIDATE,5.169887,1.5504
1045,TIC 203214138,CANDIDATE,5.1698931,1.972
1048,TIC 203287192,CANDIDATE,4.445559,3.6312
1049,TIC 203287192,CANDIDATE,4.4455516,4.081
1050,TIC 195183319,CANDIDATE,23.917716,1.7208
1051,TIC 203214117,CANDIDATE,2.783705,1.272
