loc_rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_time0,koi_duration,koi_quarters
3134,10187017,K00082.02,CONFIRMED,10.311747860,2454967.080,3.18180,11111111111111111000000000000000
3135,4757437,K00497.02,CONFIRMED,4.425350970,2454967.563,3.50400,11111011101110111000000000000000
3136,11823054,K00543.01,CONFIRMED,4.302139338,2455006.439,2.02890,11111111111111111000000000000000
3137,11823054,K00543.02,CONFIRMED,3.137845914,2454966.557,1.91000,11111111111111111000000000000000
3138,7017274,K03209.02,CANDIDATE,6.770676370,2454966.349,5.98200,11111111111111111000000000000000
3139,11913012,K00544.01,FALSE POSITIVE,3.747823140,2455004.666,5.13300,11111111111111111000000000000000
3140,11972666,K00545.01,FALSE POSITIVE,1.091731740,2455003.377,1.97190,11111111111111111000000000000000
3141,12058931,K00546.01,CONFIRMED,20.684207720,2455003.190,6.44150,11111111111111111000000000000000
3142,9782691,K00590.02,CONFIRMED,50.698540800,2454974.318,5.97200,11111101110111011000000000000000
3143,9886221,K00591.01,FALSE POSITIVE,2.992646500,2455003.801,1.81000,11111111111111111000000000000000
3144,12366084,K00787.03,CANDIDATE,0.589376952,2454964.869,1.71000,11111111111111111000000000000000
3145,9957627,K00592.01,CONFIRMED,39.752991500,2455008.462,4.96410,11111111111111111000000000000000
3146,9958962,K00593.01,CONFIRMED,9.997602850,2455004.788,3.44230,11111111111111111000000000000000
3147,9958962,K00593.02,CONFIRMED,90.411799200,2455041.503,7.10600,11111111111111111000000000000000
3148,3745690,K00442.01,CONFIRMED,13.540574610,2455004.678,4.46730,11111111111111111000000000000000
3149,3745690,K00442.02,CONFIRMED,1.732346403,2454967.531,2.21390,11111111111111111000000000000000
3150,9872283,K01815.02,CANDIDATE,1.746100570,2454964.792,1.29900,11111111111111111000000000000000
3151,3745690,K00442.03,CONFIRMED,7.025740900,2454966.627,2.24500,11111111111111111000000000000000
3152,3833007,K00443.01,CONFIRMED,16.217749170,2455013.042,4.92740,11111111111111111000000000000000
3153,3847138,K00444.01,CONFIRMED,11.722912120,2455010.320,4.20640,11111111111111111000000000000000
3154,4833135,K00498.01,FALSE POSITIVE,8.661374000,2455010.543,2.97200,
3155,4847534,K00499.01,CONFIRMED,9.668573860,2455007.535,2.46560,11111011101110111000000000000000
3156,4852528,K00500.01,CONFIRMED,7.053527145,2455009.474,2.39820,11111011101110111000000000000000
3157,4852528,K00500.02,CONFIRMED,9.521644639,2455010.485,2.35690,11111011101110111000000000000000
3158,4852528,K00500.03,CONFIRMED,3.072146607,2454967.030,1.87320,11111011101110111000000000000000
3159,4852528,K00500.04,CONFIRMED,4.645382149,2454967.589,2.02710,11111011101110111000000000000000
3160,12058931,K00546.02,CONFIRMED,9.825784950,2454964.425,5.24980,11111111111111111000000000000000
3161,12116489,K00547.01,CONFIRMED,25.302918160,2455021.060,4.49030,11111111111111111000000000000000
3162,12600735,K00548.01,CONFIRMED,21.300204910,2455022.706,4.08520,11111111111111111000000000000000
3163,10593626,K00087.01,CONFIRMED,289.864067000,2454966.697,7.56500,11111111111111111000000000000000
3164,3437776,K00549.01,FALSE POSITIVE,10.297676580,2454964.734,6.64900,11111111111111111000000000000000
3165,9958962,K00593.03,CONFIRMED,51.067435500,2454980.609,4.37400,11111111111111111000000000000000
3166,10294465,K00595.01,FALSE POSITIVE,199.997634930,2455083.972,3.43000,
3167,10388286,K00596.01,CONFIRMED,1.682695938,2455003.453,1.38670,11111111111111111000000000000000
3168,10600261,K00597.01,CONFIRMED,17.307955480,2455009.943,5.11260,11111111111111111000000000000000
3169,6462863,K00094.02,CONFIRMED,10.423677439,2454971.009,5.22570,10011001100110011000000000000000
3170,10600261,K00597.02,CONFIRMED,2.092271150,2454966.063,2.40620,11111111111111111000000000000000
3171,11904151,K00072.02,CONFIRMED,45.294222970,2454971.679,6.83000,11111110111011101000000000000000
3172,4384675,K00445.01,FALSE POSITIVE,260.207173310,2455091.349,6.59000,
3173,4633570,K00446.01,CONFIRMED,16.709206280,2455007.754,2.70520,11110111011101110000000000000000
3174,4633570,K00446.02,CONFIRMED,28.551581870,2455018.477,4.15020,11110111011101110000000000000000
3175,5021176,K00447.01,FALSE POSITIVE,4.045057186,2455005.684,2.99540,11111011101110111000000000000000
3176,5640085,K00448.01,CONFIRMED,10.139588180,2455011.451,2.64460,11111111111111111000000000000000
3177,5640085,K00448.02,CONFIRMED,43.585941900,2455027.611,4.68140,11111111111111111000000000000000
3178,4852528,K00500.05,CONFIRMED,0.986785834,2454966.171,1.18790,11111011101110111000000000000000
3179,4951877,K00501.01,CANDIDATE,24.796280100,2455003.326,8.33000,11111111111111111000000000000000
3180,5282051,K00502.01,FALSE POSITIVE,5.910376740,2455004.152,3.42100,11111011101110111000000000000000
3181,10187017,K00082.03,CONFIRMED,27.453614600,2454978.029,3.74700,11111111111111111000000000000000
3182,5340644,K00503.01,CONFIRMED,8.222413550,2455005.957,2.71000,11110111011101110000000000000000
3183,3437776,K00549.02,FALSE POSITIVE,0.635587392,2454966.417,4.70000,11111111111111111000000000000000
3184,4165473,K00550.01,CONFIRMED,13.023632360,2455011.525,3.97340,11111011101110111000000000000000
3185,4270253,K00551.01,CONFIRMED,11.637030300,2455011.844,3.33720,11111011101110111000000000000000
3186,5544450,K03226.02,CANDIDATE,6.936508540,2454966.983,3.67400,11111011101110111000000000000000
3187,4270253,K00551.02,CONFIRMED,5.687986750,2454966.956,2.26820,11111011101110111000000000000000
3188,5122112,K00552.01,FALSE POSITIVE,3.055171082,2455004.099,1.67980,11111111111111111000000000000000
3189,10973664,K00601.01,CONFIRMED,5.404269170,2455005.186,2.53150,11111111111111111000000000000000
3190,10973664,K00601.02,CANDIDATE,11.678942360,2454964.512,1.26410,11111111111111111000000000000000
3191,10973664,K00601.03,CONFIRMED,1.208462378,2454966.677,1.54400,11111111111111111000000000000000
3192,9141746,K00929.02,CONFIRMED,2.851883380,2454965.146,2.66600,01101111111111111000000000000000
3193,12459913,K00602.01,CONFIRMED,12.913859060,2455010.275,5.36850,11111111111111111000000000000000
3194,6462863,K00094.03,CONFIRMED,54.319961510,2454994.240,8.58580,10011001100110011000000000000000
3195,5779852,K00449.01,FALSE POSITIVE,252.079234700,2455073.235,3.98080,11111111111111111000000000000000
3196,6042214,K00450.01,FALSE POSITIVE,27.046278860,2455004.955,2.66600,11111111111111111000000000000000
3197,6200715,K00451.01,FALSE POSITIVE,3.723560726,2455005.180,3.43500,11111111111111111000000000000000
3198,8226050,K01910.02,CANDIDATE,18.384833100,2454968.475,3.54500,11111111111111111000000000000000
3199,6291033,K00452.01,CONFIRMED,3.705991661,2455002.943,5.16580,11111111111111111000000000000000
3200,6889235,K00074.01,FALSE POSITIVE,5.188671659,2454958.879,5.05340,11111111111111111000000000000000
3201,6758917,K00453.01,FALSE POSITIVE,2.236100588,2455002.649,1.86430,11110111011101110000000000000000
3202,5461440,K00504.01,CONFIRMED,40.606895000,2455032.257,5.75600,11111011101110111000000000000000
3203,5689351,K00505.01,CONFIRMED,13.767100580,2455007.811,2.91050,11110111011101110000000000000000
3204,6779260,K02678.02,CANDIDATE,2.216590500,2454964.561,1.00000,11111111111111111000000000000000
3205,5689351,K00505.02,CONFIRMED,6.195459500,2454967.715,2.95200,11110111011101110000000000000000
3206,5689351,K00505.03,CONFIRMED,3.250582010,2454966.695,2.25370,11110111011101110000000000000000
3207,5689351,K00505.04,CONFIRMED,8.348192090,2454969.841,2.83500,11110111011101110000000000000000
3208,5303551,K00553.01,FALSE POSITIVE,2.399069173,2455004.454,3.25760,11111111111111111000000000000000
3209,5443837,K00554.01,CANDIDATE,3.658497070,2455003.544,2.57300,11111111111111111000000000000000
3210,7692093,K03337.02,FALSE POSITIVE,91.172033000,2454987.966,6.67600,11111111111111111000000000000000
3211,5709725,K00555.01,CONFIRMED,3.701765401,2455005.448,2.60610,11111111111111111000000000000000
3212,5709725,K00555.02,CONFIRMED,86.494370400,2455014.890,7.47100,11111111111111111000000000000000
3213,7700871,K00088.01,FALSE POSITIVE,5.179688680,2454969.461,3.72560,11111111111111111000000000000000
3214,9946525,K00398.01,CONFIRMED,51.846889840,2455003.081,4.77690,11111111111111111000000000000000
3215,9946525,K00398.02,CONFIRMED,4.180048081,2455006.719,2.44790,11111111111111111000000000000000
3216,2716853,K01022.02,FALSE POSITIVE,68.832195000,2455005.124,3.31000,01111111111111111000000000000000
3217,9946525,K00398.03,CONFIRMED,1.729367077,2454966.819,1.74420,11111111111111111000000000000000
3218,7289157,K00399.01,FALSE POSITIVE,5.266406140,2455006.834,3.61630,11111111111111111000000000000000
3219,2695110,K00400.01,FALSE POSITIVE,44.189389220,2455042.990,6.81510,11111111111111111000000000000000
3220,7098355,K00454.01,CONFIRMED,29.007891660,2455003.553,5.02740,11110111011101110000000000000000
3221,7101828,K00455.01,FALSE POSITIVE,47.878243000,2455026.205,4.06600,11111111111111111000000000000000
3222,2832589,K01942.02,CANDIDATE,2.433703498,2454966.838,0.97500,11111111111111111000000000000000
3223,7269974,K00456.01,CONFIRMED,13.699422660,2455004.480,4.34090,11111111111111111000000000000000
3224,7269974,K00456.02,CONFIRMED,4.309381978,2454967.036,2.89770,11111111111111111000000000000000
3225,7440748,K00457.01,CONFIRMED,4.921363900,2455007.299,1.88060,11111111111111111000000000000000
3226,5689351,K00505.05,CONFIRMED,87.091259400,2455020.312,7.00000,11110111011101110000000000000000
3227,5780715,K00506.01,FALSE POSITIVE,1.583160478,2455002.965,1.19350,11111111111111111000000000000000
3228,10793172,K02871.04,CANDIDATE,7.978819800,2454965.260,2.87400,11111111111111111000000000000000
3229,5812960,K00507.01,CONFIRMED,18.492347920,2455006.498,3.47440,11111111111111111000000000000000
3230,6266741,K00508.01,CONFIRMED,7.930583519,2455002.517,3.60830,11110111011101110000000000000000
3231,10187017,K00082.04,CONFIRMED,7.071361190,2454972.988,2.75700,11111111111111111000000000000000
3232,5738496,K00556.01,FALSE POSITIVE,9.501509260,2455008.670,6.85200,11111111111111111000000000000000
3233,5774349,K00557.01,CONFIRMED,15.655638660,2455003.784,3.93050,11110111011101110000000000000000
3234,10285631,K00331.02,CANDIDATE,10.522866780,2454970.788,1.91100,11111101110111011000000000000000
3235,5978361,K00558.01,CONFIRMED,9.178585260,2455006.087,2.19450,11111111111111111000000000000000
3236,6422367,K00559.01,FALSE POSITIVE,4.331448390,2455006.695,2.58000,11110111011101110000000000000000
3237,6501635,K00560.01,CONFIRMED,23.675131530,2455012.277,4.64700,11110111011101110000000000000000
